STATEFP,GEOID,NAME,GranularityFeatures,GranularityScore,MapDetails,MapLink,MapLink2,SpeedTest,combined_challenge,avail_challenge,avail_numb,loc_challenge,loc_numb,challenge_sources
1,1,Alabama,Household - Address,2,"Interactive map displays private ISP submissions supplemented by FCC 477 (data vintage unknown) and state speed test results. Map also displays areas that have received or will receive grant funds, and areas where ISPs have submitted a letter of intent.",https://broadband.alabama.gov/broadband-maps/,http://expressoptimizer.net/projects/DRA/speedtestmap.html,https://broadband.alabama.gov/speed-test/,,,,,,
2,2,Alaska,Private ISP data,4,"1. Story map (combination of text, interactive maps, and static maps) that includes: map of current and funded fiber/microwave/satellite infrastructure, map of served and unserved areas by population density, and map of schools and libraries relative to current broadband footprints (Form 477 v. Dec 2020) and more 2. Static maps display the footprint and technology type used Internet service providers at the census block level, including: DSL, Fiber, and Cable based on FCC Form 477 (v. Dec 2020). ",https://storymaps.arcgis.com/stories/2ef805eb0e2746598c3ed0638388de16,https://gis.data.alaska.gov/documents/79eb02d6abe3410c8e0089a79ad5811a/explore,https://www.commerce.alaska.gov/web/abo/TestYourInternetSpeedHere.aspx,,,,,,
4,4,Arizona,NA,6,"No up-to-date map available. Interactive map displaying state-owned fiber optic conduit routes, data is not cited. ",https://adot.maps.arcgis.com/apps/webappviewer/index.html?id=177f3eac9f4d4a15884ac5dd665fbb8f,NA,,,,,,,
5,5,Arkansas,Household - Speed tests,2,1. Interactive map displays FCC 477 data (v. Dec 2020) & where federal grants were awarded. 2. Map displays results of speed test data by download speed (Mbps) & dashboard summarizes speed test results.,https://adfa-gov.maps.arcgis.com/apps/instant/interactivelegend/index.html?appid=c6ad9ab8cd044ec3ba373f2bdbbb7ee7,https://broadband.arkansas.gov/ar-rural-connect/results-map/,https://speedtest.arkansas.gov/?_ga=2.112692356.1280366344.1653570202-1717801804.1650994908,,,,,,
6,6,California,Household - Speed tests,2,"Interactive map displays speed test data, private ISP data (v. Dec 2021), broadband adoption, broadband grants, and political boundaries.",https://www.broadbandmap.ca.gov/,NA,https://broadbandforall.cdt.ca.gov/speed-test/,,,,,,
8,8,Colorado,Broadband serviceable locations,1,1. Interactive map displays state-collected ISP data at broadband serviceable locations that are verified using public speed-test data. Data current as of 30 Sept 2022. 2.  Interactive map displays the same information as in Map 1 and also includes broadband funds and broadband service levels.,https://experience.arcgis.com/experience/938d40535cd842dc9aeceacd3c554e4b,https://experience.arcgis.com/experience/b07d5672887e4c1488e3693e05dcb36c/page/Page/,https://broadband.colorado.gov/data-hub/broadband-survey,"13,000",,,,,https://coloradosun.com/2022/12/06/colorado-broadband-map-fcc-inaccuracies-challenges/
9,9,Connecticut,Broadband serviceable locations,1,Several interactive maps displaying data collected by the Office of Policy and Management with the cooperation of internet service providers in the state. Map displays location-level data summarized by census tract. Additional maps in the hub include: broadband adoption and progress to state goal of 1000/100.1,https://ctbroadband-ctmaps.hub.arcgis.com/,NA,https://portal.ct.gov/broadband?language=en_US,,,,,,
10,10,Delaware,Household - Address,2," 1. Interactive map displays resident-submitted addresses of  locations without Internet access and the funding source that will get that location served. 2. Interactive map displays resident-submitted unserved locations, ISP service areas (v. spring 2021), and status of broadband projects (i.e., in-progress or completed).",https://gis.broadband.delaware.gov/,,https://speedsurvey.delaware.gov/,,,,,,
11,11,District of Columbia,NA,6,No up-to-date map available,NA,NA,,,,,,,
12,12,Florida,Household - Speed tests,2,"1. Interactive map displays where grant funds were awarded, broadband speed test results, community anchor institutions, environmentally sensitive lands, maximum download speeds, fiber-served areas, and areas with no available fixed Internet service. 2. Interactive map displays crowd-sourced speed test data.",https://deolmsgis.maps.arcgis.com/apps/instant/basic/index.html?appid=43e39ada50bf436baa72622b91008a0e,https://expressoptimizer.net/projects/Florida/speedtestmap.php,https://expressoptimizer.net/public/index.php?testtype=NDT&banner=null&entity=Florida,,,,,,
13,13,Georgia,Broadband serviceable locations,1,"Interactive map displays unserved locations, and served and unserved areas at the census block level. GA contracted Lightbox who used parcel data, geocoded addresses, satellite imagery, and broadband deployment data from providers to produce this map. Map was last updated on 15 June 2022.",https://broadband.georgia.gov/2022-georgia-broadband-availability-map,NA,https://broadband.georgia.gov/speed-test,,,,,,
15,15,Hawaii,Household - Speed tests,2,"Interactive map displays wired, Wi-Fi, and Ookla speed test results from residents. ",https://cca.hawaii.gov/broadband/speedmap/,NA,https://survey123.arcgis.com/share/1b35ff7d300940a581e39c7f6e678319,,,,,,
16,16,Idaho,NA,6,No up-to-date map available,NA,NA,https://www.imagineidaho.org/speed-test,,,,,,
